PlateValue;TimeStamp;ImageList;Infraction;GPS
B66SCV;[u'2016:12:15 21:49:16', u'2016:12:15 21:49:15', u'2016:12:15 21:49:19', u'2016:12:15 21:49:17', u'2016:12:15 21:49:12', u'2016:12:15 21:49:21', u'2016:12:15 21:49:18', u'2016:12:15 21:49:16', u'2016:12:15 21:49:19', u'2016:12:15 21:49:21', u'2016:12:15 21:49:12', u'2016:12:15 21:49:13', u'2016:12:15 21:49:11', u'2016:12:15 21:49:13', u'2016:12:15 21:49:14', u'2016:12:15 21:49:15'];['G0597689.JPG', 'G0597687.JPG', 'G0597696.JPG', 'G0597692.JPG', 'G0597682.JPG', 'G0597700.JPG', 'G0597694.JPG', 'G0597690.JPG', 'G0597695.JPG', 'G0597699.JPG', 'G0597681.JPG', 'G0597684.JPG', 'G0597680.JPG', 'G0597683.JPG', 'G0597685.JPG', 'G0597688.JPG'];['002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '002'];[[44.446010599999994, 26.0771431], [44.446013099999995, 26.077144999999998], [44.446002299999996, 26.077133799972223], [44.446007099999996, 26.0771388], [44.446011399999996, 26.07714659997222], [44.446002899999996, 26.077125899972224], [44.44600439997222, 26.077135899972223], [44.446009699972215, 26.0771419], [44.44600299997222, 26.07713449997222], [44.44600069997222, 26.077128299972223], [44.44601229997222, 26.0771474], [44.446010999972216, 26.0771452], [44.446012999999994, 26.0771492], [44.446010799999996, 26.0771458], [44.44601089997222, 26.0771446], [44.44601229997222, 26.077144399999998]]
GR04Z0E;[u'2016:12:15 21:46:10', u'2016:12:15 21:46:14', u'2016:12:15 21:46:12', u'2016:12:15 21:49:23', u'2016:12:15 21:46:22', u'2016:12:15 21:49:16', u'2016:12:15 21:49:15', u'2016:12:15 21:49:19', u'2016:12:15 21:49:25', u'2016:12:15 21:49:22', u'2016:12:15 21:49:14', u'2016:12:15 21:46:17', u'2016:12:15 21:49:27', u'2016:12:15 21:46:15', u'2016:12:15 21:46:11', u'2016:12:15 21:49:17', u'2016:12:15 21:46:14', u'2016:12:15 21:46:15', u'2016:12:15 21:49:18', u'2016:12:15 21:49:20', u'2016:12:15 21:49:12', u'2016:12:15 21:49:24', u'2016:12:15 21:49:21', u'2016:12:15 21:49:17', u'2016:12:15 21:46:23', u'2016:12:15 21:46:16', u'2016:12:15 21:46:12', u'2016:12:15 21:49:20', u'2016:12:15 21:46:16', u'2016:12:15 21:49:18', u'2016:12:15 21:49:16', u'2016:12:15 21:46:13', u'2016:12:15 21:46:13', u'2016:12:15 21:46:18', u'2016:12:15 21:49:21', u'2016:12:15 21:46:20', u'2016:12:15 21:46:23', u'2016:12:15 21:46:21', u'2016:12:15 21:46:11', u'2016:12:15 21:46:18', u'2016:12:15 21:49:23', u'2016:12:15 21:46:21', u'2016:12:15 21:49:12', u'2016:12:15 21:49:22', u'2016:12:15 21:46:19', u'2016:12:15 21:49:13', u'2016:12:15 21:46:10', u'2016:12:15 21:46:20', u'2016:12:15 21:49:26', u'2016:12:15 21:49:11', u'2016:12:15 21:49:13', u'2016:12:15 21:46:19', u'2016:12:15 21:49:24', u'2016:12:15 21:46:17', u'2016:12:15 21:49:25', u'2016:12:15 21:49:14', u'2016:12:15 21:49:26', u'2016:12:15 21:46:22', u'2016:12:15 21:49:15'];['G0587652.JPG', 'G0587661.JPG', 'G0587656.JPG', 'G0597703.JPG', 'G0587677.JPG', 'G0597689.JPG', 'G0597687.JPG', 'G0597696.JPG', 'G0597707.JPG', 'G0597701.JPG', 'G0597686.JPG', 'G0587666.JPG', 'G0597711.JPG', 'G0587662.JPG', 'G0587655.JPG', 'G0597692.JPG', 'G0587660.JPG', 'G0587663.JPG', 'G0597693.JPG', 'G0597697.JPG', 'G0597682.JPG', 'G0597706.JPG', 'G0597700.JPG', 'G0597691.JPG', 'G0587678.JPG', 'G0587665.JPG', 'G0587657.JPG', 'G0597698.JPG', 'G0587664.JPG', 'G0597694.JPG', 'G0597690.JPG', 'G0587658.JPG', 'G0587659.JPG', 'G0587669.JPG', 'G0597699.JPG', 'G0587673.JPG', 'G0587679.JPG', 'G0587675.JPG', 'G0587654.JPG', 'G0587668.JPG', 'G0597704.JPG', 'G0587674.JPG', 'G0597681.JPG', 'G0597702.JPG', 'G0587670.JPG', 'G0597684.JPG', 'G0587653.JPG', 'G0587672.JPG', 'G0597709.JPG', 'G0597680.JPG', 'G0597683.JPG', 'G0587671.JPG', 'G0597705.JPG', 'G0587667.JPG', 'G0597708.JPG', 'G0597685.JPG', 'G0597710.JPG', 'G0587676.JPG', 'G0597688.JPG'];['002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '002', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000'];[[44.446002399972215, 26.077038599999998], [44.445958999999995, 26.0770786], [44.44596889997222, 26.0770623], [44.446012999999994, 26.07711589997222], [44.445971399972215, 26.077099699999998], [44.446010599999994, 26.0771431], [44.446013099999995, 26.077144999999998], [44.446002299999996, 26.077133799972223], [44.446011599972216, 26.07711169997222], [44.44600599997222, 26.0771218], [44.446011899999995, 26.077144699999998], [44.445966599972216, 26.0770893], [44.446003499999996, 26.07712], [44.44596059997222, 26.0770808], [44.44597649999999, 26.07705699997222], [44.446007099999996, 26.0771388], [44.445956599999995, 26.077074799972223], [44.445962599999994, 26.07708309997222], [44.44600569999999, 26.0771367], [44.44600109997222, 26.077132599972224], [44.446011399999996, 26.07714659997222], [44.446011999999996, 26.07711199997222], [44.446002899999996, 26.077125899972224], [44.446008299999995, 26.07713999997222], [44.445969399999996, 26.077099699999998], [44.445965699999995, 26.077087599972224], [44.445961499999996, 26.07706699997222], [44.445999699999994, 26.0771304], [44.445964099972215, 26.07708549997222], [44.44600439997222, 26.077135899972223], [44.446009699972215, 26.0771419], [44.445957199999995, 26.0770707], [44.445954699999994, 26.077072], [44.44596849997222, 26.07709309997222], [44.44600069997222, 26.077128299972223], [44.44597009997222, 26.07709679997222], [44.44596849997222, 26.0771], [44.445971799999995, 26.0770987], [44.445987899972216, 26.0770525], [44.445968099999995, 26.077092], [44.44601349997222, 26.07711409997222], [44.44597069997222, 26.07709769997222], [44.44601229997222, 26.0771474], [44.446008899999995, 26.0771173], [44.445968999972216, 26.0770942], [44.446010999972216, 26.0771452], [44.44599379997222, 26.077045299999998], [44.445969399999996, 26.0770957], [44.446009499999995, 26.077113399999998], [44.446012999999994, 26.0771492], [44.446010799999996, 26.0771458], [44.445968399972216, 26.0770945], [44.44601329997222, 26.07711289997222], [44.445967599999996, 26.0770911], [44.446011399999996, 26.07711199997222], [44.44601089997222, 26.0771446], [44.44600619997222, 26.07711469997222], [44.445971999972215, 26.077099399999998], [44.44601229997222, 26.077144399999998]]
PH17HIE;[u'2016:12:15 21:49:45'];['G0597747.JPG'];['000'];[[44.44554169997222, 26.07766889997222]]
B47UZP;[u'2016:12:15 21:50:29'];['G0597836.JPG'];['001'];[[44.445784799972216, 26.076609999972224]]
B58URV;[u'2016:12:15 21:50:25'];['G0597827.JPG'];['000'];[[44.44552749997222, 26.076993299999998]]
B961ALY;[u'2016:12:15 21:52:12', u'2016:12:15 21:52:12', u'2016:12:15 21:52:11'];['G0598042.JPG', 'G0598041.JPG', 'G0598040.JPG'];['000', '000', '000'];[[44.44777409997222, 26.075427399972224], [44.447763599999995, 26.075460199972223], [44.447754199972216, 26.07549069997222]]
B17XWY;[u'2016:12:15 21:52:30'];['G0598078.JPG'];['000'];[[44.448131599999996, 26.0744544]]
B88PNZ;[u'2016:12:15 21:50:31'];['G0597840.JPG'];['000'];[[44.445904799999994, 26.07643369997222]]
TR81SCF;[u'2016:12:15 21:50:26'];['G0597830.JPG'];['002'];[[44.44561229999999, 26.0768652]]
B718YNA;[u'2016:12:15 21:49:37'];['G0597732.JPG'];['003'];[[44.445787199972216, 26.0774103]]
